,Count
Фирибгарлик,14253
Транспорт воситалари ҳаракати ёки улардан фойдаланиш хавфсизлиги қоидаларини бузиш,9655
Ўғрилик,7738
Ўзлаштириш ёки растрата йўли билан талон-торож қилиш,5556
"Ҳужжатлар, штамплар, муҳрлар, бланкалар тайёрлаш, уларни қалбакилаштириш, сотиш ёки улардан фойдаланиш",4747
"Гиёвандлик воситалари ёки психотроп моддаларни ўтказиш мақсадини кўзламай қонунга хилоф равишда тайёрлаш, эгаллаш, сақлаш ва бошқа ҳаракатлар",3756
Қасддан баданга енгил шикаст етказиш,3367
Безорилик,2664
Пора бериш,2565
Қасддан баданга ўртача оғир шикаст етказиш,2331
Мансаб сохтакорлиги,2268
"Гиёвандлик воситалари ёки психотроп моддаларни ўтказиш мақсадини кўзлаб қонунга хилоф равишда тайёрлаш, олиш, сақлаш ва бошқа ҳаракатлар қилиш, шунингдек уларни қонунга хилоф равишда ўтказиш",2176
Тақиқланган экинларни етиштириш,1798
Вояга етмаган ёки меҳнатга лаёқатсиз шахсларни моддий таъминлашдан бўйин товлаш,1704
Қасддан баданга оғир шикаст етказиш,1424
Солиқлар ёки бошқа мажбурий тўловларни тўлашдан бўйин товлаш,1332
Қўшмачилик қилиш ёки фоҳишахона сақлаш,1216
"Ҳужжатлар, штамплар, муҳрлар, бланкаларни, автомототранспорт воситаларининг ва улар тиркамаларининг (ярим тиркамаларининг) давлат рақам белгиларини эгаллаш, нобуд қилиш, уларга шикаст етказиш ёки уларни яшириш",1202
Савдо ёки хизмат кўрсатиш қоидаларини бузиш,1133
Ҳақорат қилиш,907
Ҳокимият ёки мансаб ваколатини суиистеъмол қилиш,892
"Жамоат хавфсизлиги ва жамоат тартибига таҳдид соладиган материалларни тайёрлаш, сақлаш, тарқатиш ёки намойиш этиш",838
Маъмурий назорат қоидаларини бузиш,750
Талончилик,745
Кучли таъсир қилувчи ёки заҳарли моддаларни қонунга хилоф равишда муомалага киритиш,703
Мансабга совуққонлик билан қараш,576
"Электр, иссиқлик энергияси, газ, водопроводдан фойдаланиш қоидаларини бузиш",522
Қасддан одам ўлдириш,495
Қонунга хилоф равишда чет элга чиқиш ёки Ўзбекистон Республикасига кириш,494
Ер участкаларини ўзбошимчалик билан эгаллаб олиш,490
Оилавий (маиший) зўравонлик,479
Меҳнатни муҳофаза қилиш қоидаларини бузиш,474
Нодавлат тижорат ташкилотида ёки бошқа нодавлат ташкилотида мансабдор шахслар томонидан ўз ваколатларини суиистеъмол қилиш,429
Контрабанда,407
Товламачилик,378
Ҳокимият вакилига ёки фуқаровий бурчини бажараётган шахсга қаршилик кўрсатиш,365
Босқинчилик,364
Хавф остида қолдириш,363
Сохта тадбиркорлик,355
Ўзгалар мулкини талон-торож қилиш,353
Пора олиш,347
Вояга етмаган шахсни ғайриижтимоий хатти-ҳаракатларга жалб қилиш,343
Божхона тўғрисидаги қонун ҳужжатларини бузиш,339
Валюта қимматликларини қонунга хилоф равишда олиш ёки ўтказиш,329
Транспорт воситасини олиб қочиш,286
Ўзбошимчалик,244
Жиноий фаолиятдан олинган даромадларни легаллаштириш,235
Банд солинган мулкни қонунга хилоф равишда тасарруф этиш,222
